coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
3529018,https://bisque.cyverse.org/image_service/image/00-46qkDCTHw7vh3qnnZnz4q7/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-46qkDCTHw7vh3qnnZnz4q7/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-46qkDCTHw7vh3qnnZnz4q7/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-46qkDCTHw7vh3qnnZnz4q7/resize:1250/format:jpeg,,"San Diego State University Herbarium (SDSU)","CC BY (Attribution)",http://creativecommons.org/licenses/by/3.0/,,,urn:uuid:a8ede92b-11c3-4ac8-acf9-c73d31e32f4b,"2020-03-21 10:17:21",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3529018,StillImage,Photograph,en
8627976,https://api.idigbio.org/v2/media/4ee899d757fc70ffb585be561130f31d,https://api.idigbio.org/v2/media/4ee899d757fc70ffb585be561130f31d,https://api.idigbio.org/v2/media/4ee899d757fc70ffb585be561130f31d?size=thumbnail,https://api.idigbio.org/v2/media/4ee899d757fc70ffb585be561130f31d?size=webview,,"California Polytechnic State University, Robert F. Hoover Herbarium (OBI)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:6f3a7817-c67c-4c18-9f4e-78fb22c62a7e,"2019-12-11 11:03:57",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=8627976,StillImage,Photograph,en
