Source,Species,decimalLongitude,decimalLatitude
GBIF,Quercus engelmannii,-117.056602,32.819595
GBIF,Quercus engelmannii,-117.052697,32.8197
GBIF,Quercus engelmannii,-117.052604,32.819767
GBIF,Quercus engelmannii,-117.052616,32.819792
GBIF,Quercus engelmannii,-117.052671,32.819798
GBIF,Quercus engelmannii,-117.052479,32.819818
GBIF,Quercus engelmannii,-117.05267,32.81985
GBIF,Quercus engelmannii,-117.05265,32.819851
GBIF,Quercus engelmannii,-117.052662,32.819872
GBIF,Quercus engelmannii,-117.052661,32.819876
GBIF,Quercus engelmannii,-117.052771,32.819931
GBIF,Quercus engelmannii,-117.05194,32.82
GBIF,Quercus engelmannii,-116.76538,32.82027
GBIF,Quercus engelmannii,-116.760375,32.821563
GBIF,Quercus engelmannii,-116.60972,32.82306
GBIF,Quercus engelmannii,-116.60969,32.8231
GBIF,Quercus engelmannii,-116.863689,32.824047
GBIF,Quercus engelmannii,-116.79155,32.82466
GBIF,Quercus engelmannii,-116.6182,32.8247
GBIF,Quercus engelmannii,-116.6262,32.8251
GBIF,Quercus engelmannii,-116.6262,32.8251
GBIF,Quercus engelmannii,-116.76535,32.82528
GBIF,Quercus engelmannii,-116.754991,32.826656
GBIF,Quercus engelmannii,-116.85796,32.828119
GBIF,Quercus engelmannii,-116.858157,32.828245
GBIF,Quercus engelmannii,-116.857656,32.828304
GBIF,Quercus engelmannii,-116.85653,32.828326
GBIF,Quercus engelmannii,-116.85653,32.828326
GBIF,Quercus engelmannii,-116.858003,32.828542
GBIF,Quercus engelmannii,-116.857947,32.828563
GBIF,Quercus engelmannii,-116.856402,32.828629
GBIF,Quercus engelmannii,-116.85806,32.828642
GBIF,Quercus engelmannii,-116.856417,32.828653
GBIF,Quercus engelmannii,-116.856409,32.828742
GBIF,Quercus engelmannii,-116.857407,32.828751
GBIF,Quercus engelmannii,-116.857525,32.828817
GBIF,Quercus engelmannii,-116.779218,32.828829
GBIF,Quercus engelmannii,-116.856917,32.829486
GBIF,Quercus engelmannii,-116.85715,32.829544
GBIF,Quercus engelmannii,-116.619197,32.829628
GBIF,Quercus engelmannii,-116.855164,32.830173
GBIF,Quercus engelmannii,-116.77917,32.83194
GBIF,Quercus engelmannii,-116.785556,32.832222
GBIF,Quercus engelmannii,-116.856783,32.834014
GBIF,Quercus engelmannii,-116.854574,32.834279
GBIF,Quercus engelmannii,-116.76641,32.83505
GBIF,Quercus engelmannii,-116.76599,32.83505
GBIF,Quercus engelmannii,-116.53068,32.83589
GBIF,Quercus engelmannii,-116.846484,32.836322
GBIF,Quercus engelmannii,-116.854724,32.83863
GBIF,Quercus engelmannii,-116.6813,32.8388
GBIF,Quercus engelmannii,-116.6813,32.8388
GBIF,Quercus engelmannii,-116.907087,32.840373
GBIF,Quercus engelmannii,-116.62723,32.84058
GBIF,Quercus engelmannii  Greene,-116.62723,32.84058
GBIF,Quercus engelmannii,-116.804842,32.840845
GBIF,Quercus engelmannii,-116.855221,32.840943
GBIF,Quercus engelmannii,-116.855221,32.840943
GBIF,Quercus engelmannii,-116.632028,32.841367
GBIF,Quercus engelmannii,-116.645638,32.841837
GBIF,Quercus engelmannii,-116.640603,32.841982
GBIF,Quercus engelmannii,-116.715694,32.842306
GBIF,Quercus engelmannii,-116.698028,32.843308
GBIF,Quercus engelmannii,-116.860216,32.847283
GBIF,Quercus engelmannii,-117.210064,32.849004
GBIF,Quercus engelmannii,-116.55194,32.85083
GBIF,Quercus engelmannii,-116.616,32.8528
GBIF,Quercus engelmannii,-116.574,32.85377
GBIF,Quercus engelmannii,-116.74194,32.85667
GBIF,Quercus engelmannii,-116.633962,32.860737
GBIF,Quercus engelmannii,-116.63417,32.86083
GBIF,Quercus engelmannii,-116.60808,32.86429
GBIF,Quercus engelmannii,-116.64759,32.86678
