coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
23059452,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:c2f608ac-6fc9-4eb5-8175-82da3ea12cd1,"2020-02-13 13:52:16"
23059451,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:7e51292a-d2f7-4b35-8139-95039ec3711d,"2020-02-13 13:52:16"
23059387,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:6395cc20-01e2-4cd5-ae94-2dfcd4a00943,"2020-02-13 13:52:16"
23059321,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:4f1f6728-7c18-4084-b2df-7c7bdef5c066,"2020-02-13 13:52:16"
23059340,"not specified",,1924-02,,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:a15d9534-71dc-4f1b-81e8-70f1422b1ea1,"2020-02-13 13:52:16"
23059340,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:6dc98431-eb68-478d-a65f-a14a4bad5fc3,"2019-10-24 23:18:20"
23059344,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:dc9a48bf-0332-49ba-a3af-b4deda2c570b,"2020-02-13 13:52:16"
23059346,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:79a9a991-cc36-464b-a17f-67b1518afb00,"2020-02-13 13:52:16"
23059348,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:5961bec8-4743-43b5-8fee-f6d7f9eb5cea,"2020-02-13 13:52:16"
23059350,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:e477ca91-eb94-4df2-ad9b-6a7523d91c81,"2020-02-13 13:52:16"
23059352,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:646e4536-1236-458c-abb5-d304d07855a9,"2020-02-13 13:52:16"
23059353,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:2b2caa97-8c40-4fa2-88c7-d21dba2ac205,"2020-02-13 13:52:16"
23059354,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:4145c571-ed1b-4723-a4ca-49254832930d,"2020-02-13 13:52:16"
23059355,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:88a6d20b-b1d8-4005-bc21-fce2f1dcb76c,"2020-02-13 13:52:16"
23059335,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:b3954513-388c-42e0-90b3-831bebbdfe82,"2020-02-13 13:52:16"
23059334,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:30b41bd2-29ce-4a40-9ddd-f4b140272953,"2020-02-13 13:52:16"
23059332,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:3e1326ab-ee38-4863-9d7f-5b3723eed2ad,"2020-02-13 13:52:16"
23059322,"not specified",,"not specified",,"Quercus engelmannii Greene",0,Greene,,,,,,,urn:uuid:468bdf0a-c743-4183-ba5f-b79e53fbdab8,"2020-02-13 13:52:16"
