id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
13176763,GEO,"General Collection",,PreservedSpecimen,11faf1fc-9362-4dba-94cb-0a96d4636aad,12424,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,,,,,"native to southeastern United States",,,"Wilbur H. Duncan",,,,1940,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, habitat",,,,,,,,,,,,,"United States of America",Georgia,"Elbert County",,,,1,,,,,,,,,,,,,,,,,,,,,"2020-09-22 16:38:46",11faf1fc-9362-4dba-94cb-0a96d4636aad,279,urn:uuid:5770fcc4-11ab-460d-87b6-9a6faf82443b,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13176763
13190151,UNCA,,,PreservedSpecimen,2f13d6fe-fe70-46bb-9738-1ebeecb80a12,5436,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,"Petranka, J. W.",2017-01-30,,,,,,"Perry, J. D.","J. D. Blake and F. Montgomery",,,1966,,,,,,,,,"A large tree, 60-80 feet in height.",,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, coordinateUncertaintyInMeters, georeferencedBy, georeferenceSources, georeferenceVerificationStatus, habitat",,,,,,,,,,,,,USA,Georgia,Oglethorpe,,,,1,,,,,,,,,,,,,,,,,,,,Petranka,"2019-08-14 03:19:22",,212,urn:uuid:2f13d6fe-fe70-46bb-9738-1ebeecb80a12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13190151
13201410,GA,,,PreservedSpecimen,a678dc38-741e-4640-94f8-42f4fdd45f56,GA258324,272012,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,,,,,,,,"Sewell, Sabrina",,,,2012,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, habitat",,,,,"Quercus phellos, Q. shumardii, Chionanthus virginicus, Sabal minor, Muscadinia rotundifolia.",,,,,,,,"United States",Georgia,"Jasper County",,,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",a678dc38-741e-4640-94f8-42f4fdd45f56,258,urn:uuid:bfa9c67e-232d-468c-b32e-cd022d3d2e97,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13201410
13296872,NCU,,,PreservedSpecimen,dc1572f6-5172-409a-bf02-18f0a0128c5d,NCU00264681,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","South Carolina",Greenwood,,,,1,,,,,,,,,,,,,,,,,,,en,xxtratra,"2017-02-21 13:04:01",,206,urn:uuid:dc1572f6-5172-409a-bf02-18f0a0128c5d,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13296872
13296873,NCU,,,PreservedSpecimen,c581d87f-b323-424c-a91f-6aff804dda57,NCU00264682,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","South Carolina",Greenwood,,,,1,,,,,,,,,,,,,,,,,,,en,xxtratra,"2017-02-21 13:04:01",,206,urn:uuid:c581d87f-b323-424c-a91f-6aff804dda57,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13296873
13296874,NCU,,,PreservedSpecimen,8fc26c7c-c9c9-4729-b3f7-4e59bd060492,NCU00264683,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","South Carolina",Greenwood,,,,1,,,,,,,,,,,,,,,,,,,en,xxtratra,"2017-02-21 13:04:01",,206,urn:uuid:8fc26c7c-c9c9-4729-b3f7-4e59bd060492,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13296874
13296876,NCU,,,PreservedSpecimen,ad01ff1a-9a00-4c31-8ff0-b130b715d3ae,NCU00264684,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","South Carolina",McCormick,,,,1,,,,,,,,,,,,,,,,,,,en,xxtratra,"2017-02-21 13:04:01",,206,urn:uuid:ad01ff1a-9a00-4c31-8ff0-b130b715d3ae,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13296876
13296877,NCU,,,PreservedSpecimen,f337b841-c94a-472a-af38-d554cca48ed5,NCU00264685,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","South Carolina",McCormick,,,,1,,,,,,,,,,,,,,,,,,,en,xxtratra,"2017-02-21 13:04:01",,206,urn:uuid:f337b841-c94a-472a-af38-d554cca48ed5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13296877
13392694,GAS,,,PreservedSpecimen,005f102f-73e7-48ad-900b-b92d2c18bd33,GAS012629,12553,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,,,,,,,,"Crutchfield, Philip J.",,,,1961,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality",,,,,,,,,,,,"Sheet - 1","United States","South Carolina","Greenwood County",,,,1,,,,,,,,,,,,,,,,,,,,,"2018-05-07 06:58:37",005f102f-73e7-48ad-900b-b92d2c18bd33,359,urn:uuid:28fb9ea5-438e-45e0-b7f9-46dfad4dfc4b,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13392694
13694769,NCU,,,PreservedSpecimen,bd111219-55a5-416c-9952-09e47f3f758a,NCU00257190,649745,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus oglethorpensis",97598,"W. H. Duncan",Quercus,,oglethorpensis,,,Species,"Thomas, R. Dale",1982,,,,,,"Thomas, R. Dale",,,,1982,,,,,,,,"clay soil",,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, verbatimCoordinates, habitat",,,,,,fruiting,,,,,,,"United States",Louisiana,Caldwell,,,,1,,,,,,,,,,,,,,,,,,,,"Ellie Kravets","2019-08-14 03:19:22",,206,urn:uuid:bd111219-55a5-416c-9952-09e47f3f758a,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13694769
