coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
4464991,https://fm-digital-assets.fieldmuseum.org/141/463/V0060001F.jpg,https://fm-digital-assets.fieldmuseum.org/141/463/V0060001F.jpg,https://fm-digital-assets.fieldmuseum.org/141/463/V0060001F.thumb.jpg,,,"Field Museum of Natural History (F-Botany)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:65535b1b-2290-48d0-b652-7c9eba8cefc2,"2021-01-21 12:05:35",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4464991,StillImage,Photograph,en
4464992,https://fm-digital-assets.fieldmuseum.org/141/462/V0060000F.jpg,https://fm-digital-assets.fieldmuseum.org/141/462/V0060000F.jpg,https://fm-digital-assets.fieldmuseum.org/141/462/V0060000F.thumb.jpg,,,"Field Museum of Natural History (F-Botany)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:7d90c174-2c5d-404e-b0f4-35ea9445d869,"2021-01-21 12:05:35",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4464992,StillImage,Photograph,en
25234522,https://bisque.cyverse.org/image_service/image/00-hePBxrgBRnfqaiNNYdPxkC/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-hePBxrgBRnfqaiNNYdPxkC/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-hePBxrgBRnfqaiNNYdPxkC/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-hePBxrgBRnfqaiNNYdPxkC/resize:1250/format:jpeg,,"California Botanic Garden Herbarium (CalBG-RSA)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:836fb86d-b541-4ccb-b7a6-a1c50351ec45,"2020-07-10 17:31:26",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=25234522,StillImage,Photograph,en
