"","associatedsequences","barcodevalue","basisofrecord","bed","canonicalname","catalognumber","class","collectioncode","collectionid","collectionname","collector","commonname","continent","coordinateuncertainty","country","countrycode","county","datasetid","datecollected","datemodified","dqs","earliestageorloweststage","earliesteonorlowesteonothem","earliestepochorlowestseries","earliesteraorlowesterathem","earliestperiodorlowestsystem","etag","eventdate","family","fieldnumber","formation","genus","geologicalcontextid","geopoint.lon","geopoint.lat","group","hasImage","hasMedia","highertaxon","highestbiostratigraphiczone","individualcount","infraspecificepithet","institutioncode","institutionid","institutionname","kingdom","latestageorhigheststage","latesteonorhighesteonothem","latestepochorhighestseries","latesteraorhighesterathem","latestperiodorhighestsystem","lithostratigraphicterms","locality","lowestbiostratigraphiczone","maxdepth","maxelevation","member","mindepth","minelevation","municipality","occurrenceid","order","phylum","query","recordnumber","recordset","scientificname","sort","specificepithet","startdayofyear","stateprovince","taxonid","taxonomicstatus","taxonrank","typestatus","uuid","verbatimeventdate","verbatimlocality","version","waterbody"
"24",NA,NA,"preservedspecimen",NA,"quercus","0043583mor","magnoliopsida","brahms_47822","e36f3789-218d-4afd-abbf-ab3f9df0122f",NA,"hess, wj",NA,"north america",NA,"united states","usa","dupage","7ddf754f-d193-4cc9-b351-99906754a03b","2001-10-02T00:00:00+00:00","2018-08-24T10:24:35.450349+00:00",0.231884057971014,NA,NA,NA,NA,NA,"8c3e25d514230923327b01c28836456c7d82352e","2001-10-02","fagaceae",NA,NA,"quercus",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"mor",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,"morton arboretum, vicinity of nursery plots of east side main loop, c-80/92-65",NA,NA,NA,NA,NA,NA,NA,"0e8d1870-56c8-4e4e-b812-c717a4f4467b","fagales","tracheophyta",NA,"5758","14f8f83f-7a0c-458c-b6d5-6da7dc8eaa0a","quercus acerifolia",NA,"acerifolia",275,"illinois","2877951","accepted","genus",NA,"558b6e7a-f016-4afc-88ce-929c7681705f","10/2/2001",NA,NA,NA
"25",NA,NA,"preservedspecimen",NA,"quercus","0060748mor","magnoliopsida","brahms_61734","e36f3789-218d-4afd-abbf-ab3f9df0122f",NA,"hahn, m; brown, b; escudero lirio, am; budaitis, b",NA,"north america",NA,"united states","usa","menard","7ddf754f-d193-4cc9-b351-99906754a03b","2012-06-11T00:00:00+00:00","2018-08-24T10:24:35.450349+00:00",0.246376811594203,NA,NA,NA,NA,NA,"2bc83d7d60ecbcafc5ae6370e4f4f63fba8de761","2012-06-11","fagaceae",NA,NA,"quercus",NA,-89.800327,39.936042,NA,FALSE,FALSE,NA,NA,NA,NA,"mor",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,"starhill forest arboretum, petersburg, il; north 39.56.1'/ west 89.48.1' (website); (compartment #: ccc, lot #: 1)",NA,NA,NA,NA,NA,NA,NA,"f7a62cb0-1f42-4c51-b13f-de079fd5bb3f","fagales","tracheophyta",NA,"il-sh-22","14f8f83f-7a0c-458c-b6d5-6da7dc8eaa0a","quercus acerifolia",NA,"acerifolia",163,"illinois","2877951","accepted","genus",NA,"5cc6596b-92fa-4763-b361-bc03acb176ed","6/11/2012",NA,NA,NA
"26",NA,NA,"preservedspecimen",NA,"quercus","0056507mor","magnoliopsida","brahms_57377","e36f3789-218d-4afd-abbf-ab3f9df0122f",NA,"hess, wj",NA,"north america",NA,"united states","usa","logan","7ddf754f-d193-4cc9-b351-99906754a03b","1993-08-08","2018-08-24T10:24:35.450349+00:00",0.173913043478261,NA,NA,NA,NA,NA,"35b9230574b407ca33930e13d183faaf5f9c42e6",NA,"fagaceae",NA,NA,"quercus",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,"mor",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0d62fb39-e6eb-4bed-8da1-2eb24a41e845","fagales","tracheophyta",NA,NA,"14f8f83f-7a0c-458c-b6d5-6da7dc8eaa0a","quercus acerifolia",NA,"acerifolia",220,"arkansas","2877951","accepted","genus",NA,"5f484bae-36b2-4983-a353-ab4748b08447",NA,NA,NA,NA
"27",NA,NA,"preservedspecimen",NA,"quercus","ncu00124118","magnoliopsida",NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2",NA,"tucker, g. e.",NA,"north america",NA,"united states","usa","logan","7ddf754f-d193-4cc9-b351-99906754a03b","1967-11-08","2020-11-06T22:17:35.853102+00:00",0.173913043478261,NA,NA,NA,NA,NA,"d20c0491f08fa90d65c651ead0f4b620f8d418f4",NA,"fagaceae",NA,NA,"quercus",NA,NA,NA,NA,FALSE,FALSE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|fagaceae|quercus",NA,NA,NA,"ncu",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92af01f7-67a1-4c24-9da3-a257adca7506","fagales","tracheophyta",NA,NA,"4e3043a6-d48a-4a35-b5fb-f67d50cbc158","quercus acerifolia",NA,"acerifolia",312,"arkansas","2877951","accepted","genus",NA,"60d99382-3389-424a-a1f9-d5d1cc77617b",NA,NA,NA,NA
"28",NA,NA,"preservedspecimen",NA,"quercus","ills00001800","magnoliopsida",NA,"b01784c6-c5d7-11e4-b6af-00163e00498d",NA,"b.n. mcknight",NA,"north america",NA,"united states","usa","du page","7ddf754f-d193-4cc9-b351-99906754a03b","1984-10-17T00:00:00+00:00","2018-08-24T10:38:56.047928+00:00",0.202898550724638,NA,NA,NA,NA,NA,"a924ad9c0b790f5e1c843917c2e0a3c7d46286f5","1984-10-17","fagaceae",NA,NA,"quercus",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"ills",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,"the morton arboretum, c-80 cultivated from material obtained from the arnold arboretum.",NA,NA,NA,NA,NA,NA,NA,"d12aa74a-1443-4651-a55a-3e61cbecda6a","fagales","tracheophyta",NA,"4189","f0174bc9-0cca-450e-a941-655d80040139","quercus acerifolia",NA,"acerifolia",291,"illinois","2877951","accepted","genus",NA,"68861d6a-18ec-4f05-9b8c-9facb6dcb08f",NA,NA,NA,NA
"29",NA,NA,"preservedspecimen",NA,"quercus","0056502mor","magnoliopsida","brahms_57132","e36f3789-218d-4afd-abbf-ab3f9df0122f",NA,"hess, wj",NA,"north america",NA,"united states","usa","logan","7ddf754f-d193-4cc9-b351-99906754a03b","1995-08-08","2018-08-24T10:24:35.450349+00:00",0.173913043478261,NA,NA,NA,NA,NA,"18681fbcd07680036663eff77a788270dd18001b",NA,"fagaceae",NA,NA,"quercus",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,"mor",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d0722410-2b72-4191-a232-dbb53677eb11","fagales","tracheophyta",NA,NA,"14f8f83f-7a0c-458c-b6d5-6da7dc8eaa0a","quercus acerifolia",NA,"acerifolia",220,"arkansas","2877951","accepted","genus",NA,"68b6ed29-6656-4dc4-9f7f-643dfd79275f",NA,NA,NA,NA
"30",NA,NA,"preservedspecimen",NA,"quercus","ncu00124119","magnoliopsida",NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2",NA,"tucker, g. e.",NA,"north america",NA,"united states","usa","logan","7ddf754f-d193-4cc9-b351-99906754a03b","1967-11-08","2020-11-06T22:17:35.853102+00:00",0.173913043478261,NA,NA,NA,NA,NA,"fdb02de15fb615d4970ba04f7415bb6c04cb47b0",NA,"fagaceae",NA,NA,"quercus",NA,NA,NA,NA,FALSE,FALSE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|fagaceae|quercus",NA,NA,NA,"ncu",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e7899870-3f0d-4c47-ba9f-659e889cc7fd","fagales","tracheophyta",NA,NA,"4e3043a6-d48a-4a35-b5fb-f67d50cbc158","quercus acerifolia",NA,"acerifolia",312,"arkansas","2877951","accepted","genus",NA,"6a1314cb-bd61-4e03-8f1d-300cc71e2747",NA,NA,NA,NA
"31",NA,NA,"preservedspecimen",NA,"quercus","usch0036232","magnoliopsida","main","a13355a1-1ccc-46d9-9672-521d8d668804",NA,"johnson, george",NA,"north america",NA,"united states","usa","logan county","7ddf754f-d193-4cc9-b351-99906754a03b","2012-07-18","2021-07-16T15:39:00.599394+00:00",0.188405797101449,NA,NA,NA,NA,NA,"a5bd18e336b35e4bc7fe2550b590e88baddea4b7",NA,"fagaceae",NA,NA,"quercus",NA,NA,NA,NA,FALSE,FALSE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|fagaceae|quercus",NA,NA,NA,"usch",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5e8a369e-ff6d-11e2-9beb-001c23ce290f","fagales","tracheophyta",NA,NA,"83ad8494-136b-485a-87d4-8ce01dd6a8de","quercus acerifolia",NA,"acerifolia",200,"arkansas","2877951","accepted","genus",NA,"6fca8d33-d526-4862-8961-342dd56f5c17",NA,NA,NA,NA
"32",NA,NA,"preservedspecimen",NA,"quercus","ncu00124137","magnoliopsida",NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2",NA,"green, t.",NA,"north america",NA,"united states","usa","dupage","7ddf754f-d193-4cc9-b351-99906754a03b","1983-11-08","2020-11-06T22:17:35.853102+00:00",0.173913043478261,NA,NA,NA,NA,NA,"1aff5a8add0713f9ace1bfd7853313990ce92e84",NA,"fagaceae",NA,NA,"quercus",NA,NA,NA,NA,FALSE,FALSE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|fagaceae|quercus",NA,NA,NA,"ncu",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bf5bf3ee-9b0e-4d66-821a-7497891fe8f3","fagales","tracheophyta",NA,NA,"4e3043a6-d48a-4a35-b5fb-f67d50cbc158","quercus acerifolia",NA,"acerifolia",312,"illinois","2877951","accepted","genus",NA,"7156b892-fe14-4adb-95a2-36a0effcbf20",NA,NA,NA,NA
"33",NA,NA,"preservedspecimen",NA,"quercus","ncu00142633","magnoliopsida",NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2",NA,"lance, ron",NA,"north america",NA,"united states","usa","montgomery","7ddf754f-d193-4cc9-b351-99906754a03b","2011-11-08","2020-11-06T22:17:35.853102+00:00",0.173913043478261,NA,NA,NA,NA,NA,"f21c800e44bc045a47be42ca9583fb010922af82",NA,"fagaceae",NA,NA,"quercus",NA,NA,NA,NA,FALSE,FALSE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|fagaceae|quercus",NA,NA,NA,"ncu",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"007c60a6-8b13-449a-84a4-2900b6edb2dc","fagales","tracheophyta",NA,NA,"4e3043a6-d48a-4a35-b5fb-f67d50cbc158","quercus acerifolia",NA,"acerifolia",312,"arkansas","2877951","accepted","genus",NA,"74624d73-8a31-469a-b2e3-cd3ac8b947fc",NA,NA,NA,NA
