verbatimScientificName,decimalLongitude,decimalLatitude
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi,NA,NA
Quercus (Quercus) canbyi f. ascendens,-100.283333,25.716667
Quercus (Quercus) canbyi f. attenuata,-100.084444,25.268889
Quercus (Quercus) canbyi f. attenuata,-100.132162,25.404334
Quercus (Quercus) canbyi f. berlandieri,-99.474167,20.087778
Quercus (Quercus) canbyi f. concolor,-100.234444,25.551111
Quercus (Quercus) canbyi f. concolor,-100.295852,25.642921
Quercus (Quercus) canbyi f. karwinski,-100.060556,24.762222
Quercus (Quercus) canbyi f. pedunculata,-100.060556,24.762222
Quercus (Quercus) canbyi f. setacea,-100.060556,24.762222
Quercus (Quercus) canbyi f. subovatifolia,-100.060556,24.762222
Quercus (Quercus) cedrosensis,0,0
Quercus (Quercus) cedrosensis,0,0
Quercus (Quercus) cedrosensis,0,0
Quercus (Quercus) cedrosensis,0,0
Quercus (Quercus) cedrosensis,0,0
Quercus (Quercus) cedrosensis,0,0
Quercus (Quercus) cedrosensis,0,0
Quercus (Quercus) cedrosensis,0,0
Quercus (Quercus) cedrosensis,0,0
Quercus (Quercus) cedrosensis,0,0
Quercus (Quercus) cedrosensis,0,0
Quercus (Quercus) cedrosensis,-113.008333,27.525
Quercus (Quercus) cedrosensis,-113.152222,28.113333
Quercus (Quercus) cedrosensis,-115.2296,28.1263
Quercus (Quercus) cedrosensis,-115.22118,28.12899
Quercus (Quercus) cedrosensis,-115.216806,28.137528
Quercus (Quercus) cedrosensis,-115.216583,28.149972
Quercus (Quercus) cedrosensis,-115.25,28.216667
Quercus (Quercus) cedrosensis,-115.25,28.21667
Quercus (Quercus) cedrosensis,-115.25,28.2167
Quercus (Quercus) cedrosensis,-115.258333,28.225
Quercus (Quercus) cedrosensis,-115.241667,28.225
Quercus (Quercus) cedrosensis,-115.2123,28.2866
Quercus (Quercus) cedrosensis,-115.1944,28.287
Quercus (Quercus) cedrosensis,-115.1944,28.287
Quercus (Quercus) cedrosensis,-115.208333,28.291556
Quercus (Quercus) cedrosensis,-115.191667,28.291667
Quercus (Quercus) cedrosensis,-115.187111,28.291722
Quercus (Quercus) cedrosensis,-115.187111,28.291722
Quercus (Quercus) cedrosensis,-115.183,28.292
Quercus (Quercus) cedrosensis,-115.416667,28.333333
Quercus (Quercus) cedrosensis,-115.216778,28.349972
Quercus (Quercus) cedrosensis,-115.21667,28.35
Quercus (Quercus) cedrosensis,-115.22259,28.35081
Quercus (Quercus) cedrosensis,-115.21652,28.35179
Quercus (Quercus) cedrosensis,-115.216833,28.354222
Quercus (Quercus) cedrosensis,-115.2057,28.3637
Quercus (Quercus) cedrosensis,-115.2188,28.3701
Quercus (Quercus) cedrosensis,-115.213742,28.3704
Quercus (Quercus) cedrosensis,-115.225,28.375
Quercus (Quercus) cedrosensis,-113.744131,28.617043
Quercus (Quercus) cedrosensis,-113.633333,28.716667
Quercus (Quercus) cedrosensis,-113.633333,28.716667
Quercus (Quercus) cedrosensis,-113.633333,28.716667
Quercus (Quercus) cedrosensis,-113.633444,28.716694
Quercus (Quercus) cedrosensis,-113.633444,28.716694
Quercus (Quercus) cedrosensis,-113.633444,28.716694
Quercus (Quercus) cedrosensis,-113.633,28.717
Quercus (Quercus) cedrosensis,-113.641667,28.725
Quercus (Quercus) cedrosensis,-113.600028,28.749944
Quercus (Quercus) cedrosensis,-113.625,28.758333
Quercus (Quercus) cedrosensis,-113.916667,28.783333
Quercus (Quercus) cedrosensis,-113.591667,28.79
Quercus (Quercus) cedrosensis,-113.591667,28.79
Quercus (Quercus) cedrosensis,-113.591667,28.79
Quercus (Quercus) cedrosensis,-113.67,28.83
