coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
4464997,https://fm-digital-assets.fieldmuseum.org/141/455/V0059993F.jpg,https://fm-digital-assets.fieldmuseum.org/141/455/V0059993F.jpg,https://fm-digital-assets.fieldmuseum.org/141/455/V0059993F.thumb.jpg,,,"Field Museum of Natural History (F-Botany)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:a6320cf7-d2ae-470d-ae5d-18e3f38ca59b,"2021-01-21 12:05:35",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4464997,StillImage,Photograph,en
4464998,https://fm-digital-assets.fieldmuseum.org/141/456/V0059994F.jpg,https://fm-digital-assets.fieldmuseum.org/141/456/V0059994F.jpg,https://fm-digital-assets.fieldmuseum.org/141/456/V0059994F.thumb.jpg,,,"Field Museum of Natural History (F-Botany)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:858bbcaf-16c9-4d89-9c92-23afbfc2acd9,"2021-01-21 12:05:35",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4464998,StillImage,Photograph,en
23027470,https://data.huh.harvard.edu/a605e569-7ca2-4826-a237-aa2ba1f244f0/image,https://data.huh.harvard.edu/a605e569-7ca2-4826-a237-aa2ba1f244f0/image,https://data.huh.harvard.edu/a605e569-7ca2-4826-a237-aa2ba1f244f0/thumb,https://data.huh.harvard.edu/a605e569-7ca2-4826-a237-aa2ba1f244f0/thumb,,"Harvard University Herbaria: Vascular Plants of North America (Harvard)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:3ab77e1a-ea88-4ec9-966a-5508870999c8,"2019-10-24 23:18:24",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=23027470,StillImage,Photograph,en
