coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
8627905,"original identification",,"not specified",,"Quercus dumosa",0,,,,,,,,urn:uuid:ead863fd-11ef-4184-bc7c-c90823152e78,"2019-12-11 11:03:56"
8627905,"original identification",,undetermined,,"Quercus dumosa",0,,,,,,,,urn:uuid:84b5eb76-1f44-4214-ac49-071104ab1e44,"2016-03-04 04:20:51"
8627820,"original identification",,"not specified",,"Quercus chrysolepis",0,,,,,,,,urn:uuid:17d3766c-1e1c-4d1d-ba61-f17058ab2019,"2019-12-11 11:03:56"
8627820,"original identification",,undetermined,,"Quercus chrysolepis",0,,,,,,,,urn:uuid:00a76ef9-4e7a-4e8a-8bb7-ed6a2f45504c,"2016-03-04 04:20:51"
8627885,"original identification",,"not specified",,"Quercus dumosa",0,,,,,,,,urn:uuid:382cd1b1-3d5d-44a8-8034-2ea81eec0ad6,"2019-12-11 11:03:56"
8627885,"original identification",,undetermined,,"Quercus dumosa",0,,,,,,,,urn:uuid:64b8998a-c4de-4dff-b5d8-8481498c6b9b,"2016-03-04 04:20:51"
8627912,"original identification",,"not specified",,"Quercus dumosa",0,,,,,,,,urn:uuid:9d87fe49-a06a-4ada-998c-bfc218f2cf37,"2019-12-11 11:03:56"
8627912,"original identification",,undetermined,,"Quercus dumosa",0,,,,,,,,urn:uuid:66d4cff3-5935-4882-81fa-05a4c41cd9ef,"2016-03-04 04:20:51"
