coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
13335852,https://bisque.cyverse.org/image_service/image/00-DDurfP68vjTqWLyDhgwQBV?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-DDurfP68vjTqWLyDhgwQBV?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-DDurfP68vjTqWLyDhgwQBV?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-DDurfP68vjTqWLyDhgwQBV?resize=1250&format=jpeg,,"University of North Carolina at Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:bee7f403-e5cf-4ee7-b411-8cff59325d1e,"2017-04-24 14:53:31",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13335852,StillImage,Photograph,en
13335854,https://bisque.cyverse.org/image_service/image/00-CmmBTAYFc3RbGmwyvmDPcj?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-CmmBTAYFc3RbGmwyvmDPcj?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-CmmBTAYFc3RbGmwyvmDPcj?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-CmmBTAYFc3RbGmwyvmDPcj?resize=1250&format=jpeg,,"University of North Carolina at Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:fcc3ab7a-6e02-4db1-9430-b422001cec17,"2017-04-24 14:53:31",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13335854,StillImage,Photograph,en
13350969,https://bisque.cyverse.org/image_service/image/00-xnN5qHFFdTJzGsqFzqtnvE?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-xnN5qHFFdTJzGsqFzqtnvE?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-xnN5qHFFdTJzGsqFzqtnvE?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-xnN5qHFFdTJzGsqFzqtnvE?resize=1250&format=jpeg,,"University of North Carolina at Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8aa7e1b9-17d0-471f-9778-66c1dba00025,"2017-07-18 09:07:50",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13350969,StillImage,Photograph,en
13523370,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00286572_lg.jpg,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00286572_lg.jpg,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00286572_tn.jpg,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00286572.jpg,,"University of Texas at Austin Herbarium (TEX)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:c572ae6d-89cc-4100-a460-3503e488ceec,"2017-03-21 16:31:25",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13523370,StillImage,Photograph,en
13523373,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00286575_lg.jpg,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00286575_lg.jpg,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00286575_tn.jpg,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00286575.jpg,,"University of Texas at Austin Herbarium (TEX)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:466aff46-f3ac-4eba-8013-36f826b6507f,"2017-03-21 16:31:25",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13523373,StillImage,Photograph,en
13523383,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00286589_lg.jpg,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00286589_lg.jpg,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00286589_tn.jpg,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00286589.jpg,,"University of Texas at Austin Herbarium (TEX)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:228854bf-3f00-42dd-ae20-af22aedb229c,"2017-03-21 16:31:25",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13523383,StillImage,Photograph,en
13623683,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00450333_lg.jpg,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00450333_lg.jpg,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00450333_tn.jpg,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00450333.jpg,,"University of Texas at Austin Herbarium (TEX)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:d473202c-74ae-4b0b-82fa-f100d1dd97c7,"2017-03-21 16:31:25",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13623683,StillImage,Photograph,en
13623684,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00450334_lg.jpg,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00450334_lg.jpg,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00450334_tn.jpg,https://prc-symbiota.tacc.utexas.edu/symbiota/prc/images/_TEX/TEX00450334.jpg,,"University of Texas at Austin Herbarium (TEX)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:70eb7b58-230f-442c-a0b7-7f17d140894f,"2017-03-21 16:31:25",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13623684,StillImage,Photograph,en
14140956,https://bisque.cyverse.org/image_service/image/00-zmRm43uNPk2wggSZ73Q4iH?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-zmRm43uNPk2wggSZ73Q4iH?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-zmRm43uNPk2wggSZ73Q4iH?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-zmRm43uNPk2wggSZ73Q4iH?resize=1250&format=jpeg,,"University of North Carolina at Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:28cac1fd-02ae-4f51-ad28-7ec29bf6d0d4,"2017-04-24 14:53:30",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=14140956,StillImage,Photograph,en
14224289,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0251000/BRIT251784.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0251000/BRIT251784.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0251000/BRIT251784_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0251000/BRIT251784_med.jpg,,"Botanical Research Institute of Texas","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:19223b56-2dd6-452c-b2bc-400c3ae0a1b6,"2020-10-12 12:36:09",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=14224289,StillImage,Photograph,en
