Source,scientificName,decimalLongitude,decimalLatitude
SEINET,Quercus arkansana,-87.4660034,32.9659996
SEINET,Quercus arkansana,-87.4666667,32.9666667
GBIF,Quercus arkansana,-87.466667,32.966667
GBIF,Quercus arkansana,-87.46667,32.96667
SEINET,Quercus arkansana,-87.47111,32.97361
GBIF,Quercus arkansana Sarg.,-87.47111,32.97361
GBIF,Quercus arkansana Sarg.,-87.48861,32.99944
SEINET,Quercus arkansana,-87.49028,33.04722
GBIF,Quercus arkansana Sarg.,-87.49028,33.04722
GBIF,Quercus arkansana Sarg.,-87.497459,33.05244
GBIF,Quercus arkansana Sarg.,-87.497459,33.05267
GBIF,Quercus arkansana Sarg.,-87.497714,33.05207
GBIF,Quercus arkansana Sarg.,-87.497735,33.05205
GBIF,Quercus arkansana Sarg.,-87.497735,33.05205
GBIF,Quercus arkansana Sarg.,-87.497771,33.05253
SEINET,Quercus arkansana,-87.6,33
GBIF,Quercus arkansana Sarg.,-87.6,33.016667
GBIF,Quercus arkansana Sarg.,-87.6,33
SEINET,Quercus arkansana,-87.62375,30.280472
SEINET,Quercus arkansana,-87.6238,30.2805
SEINET,Quercus arkansana,-87.6238,30.2805
SEINET,Quercus arkansana,-87.6238,30.2805
SEINET,Quercus arkansana,-87.951228,32.550349
SEINET,Quercus arkansana,-87.994239,32.514287
SEINET,Quercus arkansana,-88.0272,32.5629
GBIF,Quercus arkansana Sarg.,-88.029988,32.50834
GBIF,Quercus arkansana Sarg.,-88.029988,32.50834
GBIF,Quercus arkansana Sarg.,-88.029988,32.50834
SEINET,Quercus arkansana,-88.05695,32.59222
GBIF,Quercus arkansana Sarg.,-88.05695,32.59222
SEINET,Quercus arkansana,-88.05766667,32.58616667
SEINET,Quercus arkansana,-88.05806,32.58667
GBIF,Quercus arkansana Sarg.,-88.05806,32.58667
SEINET,Quercus arkansana,-88.101025,32.52732
GBIF,Quercus arkansana,-88.125918,32.457596
SEINET,Quercus arkansana,-88.254456,31.465165
SEINET,Quercus arkansana,-92.498719,32.922395
SEINET,Quercus arkansana,-92.498719,32.922395
GBIF,Quercus arkansana,-92.498719,32.922395
GBIF,Quercus arkansana,-92.498719,32.922395
SEINET,Quercus arkansana,-92.507292,32.879671
GBIF,Quercus arkansana,-92.507292,32.879671
SEINET,Quercus arkansana,-92.560956,32.968593
SEINET,Quercus arkansana,-92.560956,32.968593
GBIF,Quercus arkansana,-92.560956,32.968593
SEINET,Quercus arkansana,-92.56441,32.981244
GBIF,Quercus arkansana Sarg.,-92.566667,32.95
GBIF,Quercus arkansana,-92.933512,33.700436
SEINET,Quercus arkansana,-92.99704,33.71067
GBIF,Quercus arkansana,-93.02028,33.70222
SEINET,Quercus arkansana,-93.020444,33.702332
GBIF,Quercus arkansana,-93.029109,33.668959
GBIF,Quercus arkansana,-93.035637,33.608793
GBIF,Quercus arkansana,-93.073556,33.777064
GBIF,Quercus arkansana,-93.120403,33.629791
SEINET,Quercus arkansana,-93.133176,33.707967
GBIF,Quercus arkansana,-93.133176,33.707967
SEINET,Quercus arkansana,-93.134419,33.714599
SEINET,Quercus arkansana velutina,-93.165986,33.679795
SEINET,Quercus arkansana velutina,-93.166081,33.679878
SEINET,Quercus arkansana,-93.668443,33.735305
GBIF,Quercus arkansana,-93.668443,33.735305
GBIF,Quercus arkansana Sarg.,-93.81333,33.61444
GBIF,Quercus arkansana Sarg.,-93.81333,33.61444
SEINET,Quercus arkansana,-93.813516,33.614565
SEINET,Quercus arkansana,-93.813516,33.614565
GBIF,Quercus arkansana,-93.813516,33.614565
GBIF,Quercus arkansana,-93.813516,33.614565
GBIF,Quercus arkansana Sarg.,-93.8144,33.6119
GBIF,Quercus arkansana Sarg.,-93.8325,33.6608
GBIF,Quercus arkansana Sarg.,-93.8325,33.6608
