gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2397760819	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3158b1c9f-8f04-4c11-91f1-80592e49ef50		03405351.tif	Barcode 03405351	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397760711	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m370fbbaca-fac6-4b55-9742-d2ed45021913		03405358.tif	Barcode 03405358	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397760517	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m31d2e5a4c-9e17-4ff8-8d3d-ffc5897f1390		03408962.tif	Barcode 03408962	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397757713	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m310e142bd-b57b-4d57-b5ca-611423be9833		03405242.tif	Barcode 03405242	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397755947	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3d20a2557-5d4f-4f86-a359-6f4aa1758fae		03405423.tif	Barcode 03405423	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397755550	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m34dca4153-d911-432c-945c-7dee2ff33629		03405385.tif	Barcode 03405385	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397755198	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m365259dc5-5619-40b1-8d8c-af6bdf82ec07		03405391.tif	Barcode 03405391	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397755110	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m34b212021-b11d-4b72-98ff-d2c687a583ca		03405349.tif	Barcode 03405349	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397754573	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3838b67bb-2011-451c-a48d-16687be533b9		03408979.tif	Barcode 03408979	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397754229	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m39ff30b15-5179-4069-9353-dd1358f7a620		03404506.tif	Barcode 03404506	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397751176	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3a54e8ce1-7c38-47c7-af0f-de754d6b4725		03405359.tif	Barcode 03405359	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397750711	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m315e0be10-ec59-4915-99c6-ad9901f6502e		03405240.tif	Barcode 03405240	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397748677	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m386e4ef56-8a45-41c8-aca0-1fb6ae59e9ab		03404507.tif	Barcode 03404507	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397748468	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3433615ca-8f29-481f-a5a9-948ba0a323ee		03403740.tif	Barcode 03403740	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397747217	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m33e3427ee-2433-4c82-a1ea-576b67e216da		03403733.tif	Barcode 03403733	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397746982	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3cd663957-984a-4c75-9eae-5b2b0c6d6686		03405420.tif	Barcode 03405420	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397745829	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3ea5a8bd6-49db-4ed8-b3db-3ed7755806e0		03405377.tif	Barcode 03405377	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
2397743388	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3b5af758e-3923-4ed9-ad78-f3844c106489		03405181.tif	Barcode 03405181	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
