id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
12948079,SRSC,,,PreservedSpecimen,,3420,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,"B. L. Turner",2001,,,,,,"A.M. Powell","S. Powell, S. Weyerts, B. Hughes",,,1991,,,,,,"Originally identified as Quercus hinckleyi by A.M. Powell.",,"Solitario formation. Outer limestone (Glen Rose) uplift.","Ca. 12-14 plants. Apparently rhizomatous clones. Individual plants pressed as vouchers. Plant #5 out of 5 specimens.",,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, maximumElevationInMeters, verbatimElevation, habitat",,,,,,,,,,,,,USA,Texas,Presidio,,,,1,,,,,,,,,,,,,,,,,,,,,"2017-01-25 15:59:49",,223,urn:uuid:eda42525-dc35-4a9f-bf5a-9682f2f33b18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=12948079
12948080,SRSC,,,PreservedSpecimen,,3421,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,"B. L. Turner",2001,,,,,,"Richard Hilsenbeck",,,,1990,,,,,,"Originally identified as Quercus by R. Hilsenbeck.",,"Boquillas limestone.","Population 1.",,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, habitat",,,,,,,,,,,,,USA,Texas,Presidio,,,,1,,,,,,,,,,,,,,,,,,,,,"2017-01-25 16:01:36",,223,urn:uuid:6c432503-46b6-4046-918b-f059e6fa5e38,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=12948080
12948084,SRSC,,,PreservedSpecimen,,3422,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi x Q. vaseyana",,,,,,,,,,,,,,,,"M.K. Terry",,950,2010-01-13,2010,1,13,13,,"13 Jan 2010","Originally identified as Quercus hinckleyi x Q. vaseyana by M. Terry.","On north slope of ridge.",,"Tree ca. 3 m tall.",,,,,,,"Ca. 10m N of eastern group of Q. hinckleyi.",,,,,,,,USA,Texas,Presidio,,"Near Shafter, Texas, ca. 100 m. SE of hwy 67. N of South Shafter Rd.",,,,,,,,,,,,,,,,,,,,,,,"2017-01-25 16:05:52",,223,urn:uuid:56c5dc88-c50c-416a-aca5-6975c1f9f1ad,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=12948084
12951411,SRSC,,,PreservedSpecimen,,3401,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,"B. L. Turner",2001,,,,,,"Barry Hughes","Richard Hilsenbeck, Tommy Hernandez",,,1991,,,,,,"Originally identified as Quercus hinckleyi by B.G. Hughes. N side of canyon may be E side of canyon?",,"On limestone.","Samples from pop. 4 (see map); ca. 50-70 cm. in height. Some plants dry. Other new pop. (1, 2, 3, & 5) also shown on map.",,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, maximumElevationInMeters, verbatimElevation, habitat",,,,,,,,,,,,,USA,Texas,Presidio,,,,1,,,,,,,,,,,,,,,,,,,,,"2017-01-25 16:10:44",,223,urn:uuid:949d6ab3-2d36-42c8-b483-8d3fa91f656b,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=12951411
13425919,LL,,,PreservedSpecimen,5f3cdad8-b20b-42c6-a6a6-b42380a96818,00048010,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,"Turner, B. L.",2000,,,,,,"Barton H. Warnock|Cornelius H. Muller",,,,1974,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,,,,,,,,,Sheet,"United States",Texas,Presidio,,,,1,,,,,,,,,,,,,,,,,,,,,"2021-06-11 13:50:59",5f3cdad8-b20b-42c6-a6a6-b42380a96818,365,urn:uuid:d88c76ac-3572-440c-82a6-18413e0ba852,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13425919
13453214,LL,,,PreservedSpecimen,5879d1f6-6445-44db-b404-c431037f7f4c,00378759,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,"Turner, B. L.",2000,,,,,,"Barton H. Warnock|Cornelius H. Muller",,,,1974,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,,,,,,,,,Sheet,"United States",Texas,Presidio,,,,1,,,,,,,,,,,,,,,,,,,,,"2021-06-11 13:50:59",5879d1f6-6445-44db-b404-c431037f7f4c,365,urn:uuid:169940dd-e0f3-46f7-98a1-371b3eaea33f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13453214
13453215,LL,,,PreservedSpecimen,8e282b57-dd28-4aae-985e-192056e3b7c1,00378760,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,"Turner, B. L.",2000,,,,,,"Barton H. Warnock|Wilbur D. McBryde",,,,1957,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,,,,,,,,,Sheet,"United States",Texas,Presidio,,,,1,,,,,,,,,,,,,,,,,,,,,"2021-06-11 13:50:59",8e282b57-dd28-4aae-985e-192056e3b7c1,365,urn:uuid:23951b56-112a-44b5-949e-cd450425fbf3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13453215
13464475,LL,,,PreservedSpecimen,e4f979b5-eb50-4e34-9098-241f4edcf898,00443292,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,"Turner, B. L.",2006,,,,,,"Chris J. Durden",,,,1975,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality",,,,,,,,,,,,Sheet,"United States",Texas,Presidio,,,,1,,,,,,,,,,,,,,,,,,,,,"2021-06-11 13:50:59",e4f979b5-eb50-4e34-9098-241f4edcf898,365,urn:uuid:06906768-02b6-402f-86fb-59db970a29b4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13464475
13464480,LL,,,PreservedSpecimen,2a4b4cbf-9ac1-4c56-8263-0b27e04c6aad,00443308,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,"Turner, B. L.",2006,,,,,,"Albert Michael Powell",,,,1974,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,,,,,,,,,Sheet,"United States",Texas,Presidio,,,,1,,,,,,,,,,,,,,,,,,,,,"2021-06-11 13:50:59",2a4b4cbf-9ac1-4c56-8263-0b27e04c6aad,365,urn:uuid:dfb9b761-aad5-46d6-867a-412995356835,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13464480
13508365,TEX,,,PreservedSpecimen,,TEX00196478,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus hinckleyi",97568,"C.H. Mull.",Quercus,,hinckleyi,,,Species,"Turner, B. L.",2004,,,,,,"Walter C. Holmes|Jason R. Singhurst|R. S. Baldridge",,,,2001,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, habitat",,,,,,,,,,,,Sheet,"United States",Texas,Presidio,,,,1,,,,,,,,,,,,,,,,,,,,,"2021-07-13 12:39:17",ae051fc2-2e2c-4ca1-9fcd-4ad3a5dcff0d,366,urn:uuid:76b2f763-7874-4a08-a585-e3e31f68e580,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13508365
