coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
1026542,https://api.idigbio.org/v2/media/a7e614fd8b663c471c2fbe34d4309ca5,https://api.idigbio.org/v2/media/a7e614fd8b663c471c2fbe34d4309ca5,https://api.idigbio.org/v2/media/a7e614fd8b663c471c2fbe34d4309ca5?size=thumbnail,https://api.idigbio.org/v2/media/a7e614fd8b663c471c2fbe34d4309ca5?size=webview,,"Deaver Herbarium","CC BY (Attribution)",http://creativecommons.org/licenses/by/3.0/,,,urn:uuid:dd9d5016-d62c-498f-95c7-e73823f33d74,"2019-03-08 17:27:44",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1026542,StillImage,Photograph,en
1026543,https://api.idigbio.org/v2/media/af93da205c68ab65c6ead0aef1119f8a,https://api.idigbio.org/v2/media/af93da205c68ab65c6ead0aef1119f8a,https://api.idigbio.org/v2/media/af93da205c68ab65c6ead0aef1119f8a?size=thumbnail,https://api.idigbio.org/v2/media/af93da205c68ab65c6ead0aef1119f8a?size=webview,,"Deaver Herbarium","CC BY (Attribution)",http://creativecommons.org/licenses/by/3.0/,,,urn:uuid:90ad2a52-9abf-4579-9296-a092bc423406,"2019-03-08 17:27:43",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1026543,StillImage,Photograph,en
1026545,https://api.idigbio.org/v2/media/1e68331d5133233dc0122b1f838c3004,https://api.idigbio.org/v2/media/1e68331d5133233dc0122b1f838c3004,https://api.idigbio.org/v2/media/1e68331d5133233dc0122b1f838c3004?size=thumbnail,https://api.idigbio.org/v2/media/1e68331d5133233dc0122b1f838c3004?size=webview,,"Deaver Herbarium","CC BY (Attribution)",http://creativecommons.org/licenses/by/3.0/,,,urn:uuid:88d30e90-eb27-492d-9c5b-60850ddd1c7b,"2019-03-08 17:27:43",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1026545,StillImage,Photograph,en
1902576,https://api.idigbio.org/v2/media/61bd85cc8aa7b911a0f55641d36ad379?size=fullsize,https://api.idigbio.org/v2/media/61bd85cc8aa7b911a0f55641d36ad379?size=fullsize,https://api.idigbio.org/v2/media/61bd85cc8aa7b911a0f55641d36ad379?size=thumbnail,https://api.idigbio.org/v2/media/61bd85cc8aa7b911a0f55641d36ad379?size=webview,,"The Navajo Nation","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:111d4629-2f7b-4cf4-93e2-237344404bd4,"2018-04-05 11:58:09",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1902576,StillImage,Photograph,en
2057509,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00060/DES00060103_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00060/DES00060103_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00060/DES00060103_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00060/DES00060103.jpg,,"Desert Botanical Garden Herbarium (DES)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:c9c6a550-29e7-4631-9441-813fb8abc981,"2012-03-14 14:16:38",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2057509,StillImage,Photograph,en
2059615,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00059/DES00059992_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00059/DES00059992_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00059/DES00059992_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00059/DES00059992.jpg,,"Desert Botanical Garden Herbarium (DES)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:32f4816c-d48e-418d-b60b-d57f438acf13,"2012-03-14 14:16:36",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2059615,StillImage,Photograph,en
2062545,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00061/DES00061696_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00061/DES00061696_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00061/DES00061696_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00061/DES00061696.jpg,,"Desert Botanical Garden Herbarium (DES)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:30456991-edd8-4d82-b5fe-edc6187a8f7d,"2012-03-14 14:16:47",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2062545,StillImage,Photograph,en
2066639,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00022/DES00022707_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00022/DES00022707_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00022/DES00022707_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00022/DES00022707.jpg,,"Desert Botanical Garden Herbarium (DES)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:48009792-499e-4bba-a0d8-ad9bcf0030f6,"2012-03-14 14:11:19",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2066639,StillImage,Photograph,en
2066641,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00022/DES00022706_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00022/DES00022706_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00022/DES00022706_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00022/DES00022706.jpg,,"Desert Botanical Garden Herbarium (DES)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:f4f00692-fa8c-46b1-8ca6-74f1bd21b8d0,"2012-03-14 14:11:16",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2066641,StillImage,Photograph,en
2066643,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00022/DES00022705_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00022/DES00022705_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00022/DES00022705_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00022/DES00022705.jpg,,"Desert Botanical Garden Herbarium (DES)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:b9b38aaf-0238-492c-b6e8-84786adce510,"2012-03-14 14:11:14",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2066643,StillImage,Photograph,en
