id,decimalLongitude,decimalLatitude
SEINET,-112.89,36.8392
SEINET,-112.89,36.8392
SEINET,-112.8892,36.8389
SEINET,-112.8892,36.8389
SEINET,-112.7455,36.8678
SEINET,-112.063,36.8093
SEINET,-112.063,36.8093
SEINET,-112.00917,34.73917
SEINET,-112.005627,36.986371
SEINET,-112.005627,36.986371
SEINET,-112.003722,34.757944
SEINET,-112.003722,34.757944
SEINET,-112.003722,34.757944
SEINET,-112,34.7541
SEINET,-112,34.7541
SEINET,-112,34.7541
SEINET,-112,34.7541
SEINET,-112,34.7541
SEINET,-112,34.7541
SEINET,-112,34.7541
SEINET,-112,34.7541
SEINET,-112,34.7541
SEINET,-112,34.7541
SEINET,-111.999574,34.724467
SEINET,-111.99583,34.72139
SEINET,-111.99583,34.72139
SEINET,-111.99005,34.72787
SEINET,-111.99005,34.72787
SEINET,-111.99005,34.72787
SEINET,-111.989556,34.72775
SEINET,-111.989556,34.72775
SEINET,-111.989556,34.72775
SEINET,-111.989556,34.72775
SEINET,-111.9892,34.7278
SEINET,-111.9892,34.7278
SEINET,-111.9892,34.7279
SEINET,-111.9892,34.7278
SEINET,-111.9892,34.7279
SEINET,-111.9892,34.7278
SEINET,-111.9892,34.7278
SEINET,-111.9892,34.7278
SEINET,-111.9875,34.727667
SEINET,-111.9875,34.727667
SEINET,-111.984571,34.724878
SEINET,-111.984571,34.724878
SEINET,-111.984571,34.724878
SEINET,-111.984571,34.724878
SEINET,-111.984571,34.724878
SEINET,-111.984571,34.724878
SEINET,-111.9837,37.09571
SEINET,-111.983,34.7255
SEINET,-111.982,34.7394
SEINET,-111.982,34.7394
SEINET,-111.982,34.7394
SEINET,-111.982,34.7394
SEINET,-111.982,34.7394
SEINET,-111.982,34.7394
SEINET,-111.982,34.7394
SEINET,-111.982,34.7394
SEINET,-111.982,34.7249
SEINET,-111.982,34.7249
SEINET,-111.982,34.7249
SEINET,-111.982,34.7249
SEINET,-111.982,34.7249
SEINET,-111.982,34.7249
SEINET,-111.982,34.7249
SEINET,-111.982,34.7249
SEINET,-111.982,34.7394
SEINET,-111.982,34.7394
SEINET,-111.982,34.7394
SEINET,-111.982,34.7394
SEINET,-111.982,34.7394
SEINET,-111.982,34.7394
